sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
femenino;comercio;variedades;francisco_antonio_zea;2;5.0;2018-02-09;781000.0;microempresarial
femenino;comercio;tienda;picacho;1;6.0;2019-05-29;8200000.0;microempresarial
masculino;comercio;almacen_de_ropa_en_;girardot;3;5.0;2017-02-23;3000000.0;microempresarial
masculino;industria;carpinteria;manrique_oriental;1;3.0;2016-12-16;6900000.0;microempresarial
femenino;servicio;peluqueria;buenos_aires;3;9.0;2017-06-13;7377000.0;microempresarial
femenino;comercio;variedades;el_salvador;2;9.0;2017-10-27;6500000.0;microempresarial
masculino;servicio;cafeteria;santa_elena_central;2;90.0;2016-05-16;6000000.0;microempresarial
masculino;servicio;barberia;robledo;2;7.0;2018-05-08;6000000.0;microempresarial
masculino;comercio;peluqueria;belen;3;16.0;2018-06-08;7800000.0;microempresarial
femenino;industria;fabrica_de_;la_loma_oriental;2;60.0;2016-12-16;6890000.0;microempresarial
masculino;servicio;barberia;la_loma;1;60.0;2018-08-24;7800000.0;microempresarial
femenino;servicio;cafe_e_internet;buenos_aires;3;9.0;2016-12-05;6890000.0;microempresarial
femenino;servicio;fabrica_de_;castilla;3;5.0;2017-02-09;7377000.0;microempresarial
masculino;comercio;variedades;barrio_caicedo;2;9.0;2017-10-24;7300000.0;microempresarial
masculino;industria;fabrica_de_;manrique_oriental;2;3.0;2018-06-18;4000000.0;microempresarial
masculino;servicio;peluqueria;robledo;2;7.0;2018-02-21;7000000.0;microempresarial
femenino;servicio;comidas_rapidas;florencia;3;5.0;2018-10-18;1500000.0;microempresarial
femenino;comercio;comidas_rapidas;andalucia;2;2.0;2018-06-21;5000000.0;microempresarial
masculino;servicio;mantenimiento_en_;enciso;3;8.0;2018-09-27;7800000.0;microempresarial
masculino;comercio;comidas_rapidas;doce_de_octubre_no_1;2;6.0;2018-10-24;4000000.0;microempresarial
femenino;industria;fabrica_de_;manrique_central_no__2;2;3.0;2019-06-12;4500000.0;microempresarial
masculino;industria;fabrica_de_muebles;cabecera_san_cristobal;3;60.0;2018-10-26;7800000.0;microempresarial
femenino;comercio;comidas_rapidas;aranjuez;3;4.0;2017-06-13;4000000.0;microempresarial
masculino;industria;fabrica_de_alimentos;robledo;3;7.0;2018-11-01;7800000.0;microempresarial
femenino;comercio;tienda;robledo;2;7.0;2017-02-13;5000000.0;microempresarial
femenino;comercio;comidas_rapidas;san_javier_no_1;1;13.0;2018-03-14;7800000.0;microempresarial
femenino;servicio;cafe_e_internet;robledo;1;7.0;2016-06-24;6000000.0;microempresarial
femenino;industria;fabrica_de_;manrique_central_no__1;1;4.0;2018-11-13;2500000.0;microempresarial
femenino;comercio;legumbreria;manrique_central_no__2;2;3.0;2016-04-14;6000000.0;microempresarial
masculino;servicio;cafe_e_internet;buenos_aires;3;9.0;2018-02-06;4000000.0;microempresarial
femenino;comercio;variedades;robledo;1;7.0;2018-08-24;7800000.0;microempresarial
femenino;industria;fabrica_de_;la_floresta;2;13.0;2018-12-21;5000000.0;microempresarial
femenino;comercio;variedades;cabecera_san_antonio_;2;80.0;2016-06-17;6800000.0;microempresarial
masculino;comercio;panaderia;pedregal_alto;3;60.0;2017-12-04;7000000.0;microempresarial
masculino;comercio;ferreteria;villa_del_socorro;1;2.0;2018-02-15;7800000.0;microempresarial
femenino;comercio;variedades;buenos_aires;3;9.0;2018-08-01;1000000.0;microempresarial
femenino;industria;fabrica_de_;la_libertad;2;8.0;2018-05-31;7800000.0;microempresarial
femenino;comercio;variedades;el_chagualo;3;10.0;2018-05-25;7800000.0;microempresarial
femenino;comercio;miscelanea;popular;1;1.0;2016-10-26;4000000.0;microempresarial
femenino;industria;fabrica_de_arepas;san_javier_no_1;3;13.0;2016-06-15;6500000.0;microempresarial
femenino;industria;fabrica_de_;aranjuez;2;4.0;2018-03-22;3400000.0;microempresarial
masculino;comercio;comidas_rapidas;popular;2;1.0;2017-11-22;4000000.0;microempresarial
masculino;comercio;tienda;picacho;1;6.0;2018-05-04;7000000.0;microempresarial
femenino;industria;fabrica_de_;campo_valdes_no__1;3;4.0;2019-01-25;5000000.0;microempresarial
femenino;servicio;tienda;enciso;2;8.0;2017-04-25;5000000.0;microempresarial
femenino;industria;fabrica_de_;santa_cruz;2;2.0;2018-07-17;7800000.0;microempresarial
masculino;industria;fabrica_de_;trinidad;3;15.0;2016-05-19;3000000.0;microempresarial
femenino;comercio;fabrica_de_arepas;barrio_caicedo;2;9.0;2019-03-20;4000000.0;microempresarial
femenino;industria;fabrica_de_;robledo;2;7.0;2018-08-17;5000000.0;microempresarial
femenino;comercio;variedades;el_poblado;3;14.0;2017-06-16;7000000.0;microempresarial
femenino;comercio;comidas_rapidas;santa_cruz;2;2.0;2018-12-03;6000000.0;microempresarial
masculino;comercio;almacen_de_ropa_en_;santa_cruz;2;2.0;2019-02-05;8000000.0;microempresarial
femenino;industria;carpinteria;cabecera_san_antonio_;2;80.0;2016-09-15;6500000.0;microempresarial
masculino;servicio;recreativo_educativo;cabecera_san_cristobal;3;60.0;2019-02-06;7800000.0;microempresarial
femenino;industria;fabrica_de_;manrique_central_no__1;2;4.0;2019-06-27;8281000.0;microempresarial
masculino;industria;fabrica_de_repuestos_;la_floresta;2;12.0;2018-07-09;7800000.0;microempresarial
femenino;comercio;tienda;la_francia;2;2.0;2019-04-08;6000000.0;microempresarial
masculino;servicio;comidas_rapidas;castilla;2;5.0;2016-04-26;6890000.0;microempresarial
femenino;servicio;distribuidora_de_;san_javier_no_1;2;13.0;2017-04-03;7000000.0;microempresarial
masculino;industria;fabrica_de_repuestos_;guayabal;3;15.0;2017-12-29;7300000.0;microempresarial
femenino;industria;fabrica_de_;manrique_central_no__1;2;4.0;2018-08-21;3000000.0;microempresarial
femenino;comercio;almacen_de_ropa_en_;20_de_julio;1;13.0;2018-06-08;2000000.0;microempresarial
masculino;comercio;variedades;la_milagrosa;3;9.0;2018-03-09;5000000.0;microempresarial
femenino;servicio;peluqueria;aranjuez;2;4.0;2018-09-24;7800000.0;microempresarial
femenino;servicio;recreativo_educativo;castilla;3;5.0;2018-12-17;7500000.0;microempresarial
masculino;comercio;distribuidora_de_;villa_hermosa;3;8.0;2017-08-04;7300000.0;microempresarial
femenino;comercio;restaurante;manrique_central_no__1;2;4.0;2018-09-27;6000000.0;microempresarial
femenino;comercio;almacen_de_ropa_en_;buenos_aires;3;9.0;2017-06-14;7300000.0;microempresarial
femenino;comercio;taller_de_electronica;barrio_caicedo;1;9.0;2018-11-14;3000000.0;microempresarial
femenino;industria;fabrica_de_;castilla;3;5.0;2019-01-04;7800000.0;microempresarial
femenino;comercio;variedades;la_pradera;2;13.0;2017-07-10;7370000.0;microempresarial
masculino;servicio;productos_de_belleza;robledo;2;4.0;2018-07-10;5000000.0;microempresarial
femenino;industria;fabrica_de_muebles;castilla;3;5.0;2017-09-22;4000000.0;microempresarial
masculino;industria;fabrica_de_;buenos_aires;3;9.0;2019-06-12;2500000.0;microempresarial
femenino;industria;fabrica_de_;san_pablo;2;1.0;2018-02-21;1000000.0;microempresarial
masculino;comercio;almacen_de_ropa_en_;robledo;2;7.0;2017-07-10;7377000.0;microempresarial
femenino;comercio;tienda;manrique_central_no__2;3;3.0;2019-05-22;5000000.0;microempresarial
femenino;comercio;comidas_rapidas;robledo;2;7.0;2017-01-27;4000000.0;microempresarial
femenino;comercio;variedades;jardin_botanico;2;3.0;2019-01-30;4000000.0;microempresarial
masculino;industria;fabrica_de_;manrique_oriental;1;3.0;2018-10-03;7800000.0;microempresarial
masculino;servicio;lavanderia;robledo;3;7.0;2018-07-09;7800000.0;microempresarial
femenino;industria;fabrica_de_;buenos_aires;1;9.0;2018-07-12;4000000.0;microempresarial
femenino;comercio;venta_de_calzado;belen;2;16.0;2016-10-19;4000000.0;microempresarial
masculino;servicio;taller_de_electronica;san_javier_no_1;3;13.0;2019-02-15;8122200.0;microempresarial
masculino;comercio;tienda;manrique_central_no__1;3;4.0;2018-05-10;7800000.0;microempresarial
masculino;comercio;papeleria;el_salvador;3;9.0;2019-04-26;7000000.0;microempresarial
masculino;comercio;carpinteria;cabecera_san_cristobal;2;60.0;2018-08-01;3000000.0;microempresarial
masculino;industria;ebanistaria;belencito;2;13.0;2016-11-04;4000000.0;microempresarial
masculino;industria;fabrica_de_;cabecera_san_cristobal;2;60.0;2018-12-19;4000000.0;microempresarial
masculino;comercio;tienda;san_antonio;3;8.0;2019-06-21;4500000.0;microempresarial
femenino;servicio;criadero_de_animales_;belen;2;16.0;2017-03-09;4000000.0;microempresarial
femenino;comercio;variedades;miranda;2;4.0;2018-02-01;2000000.0;microempresarial
femenino;industria;fabrica_de_;tejelo;3;5.0;2017-04-24;5000000.0;microempresarial
masculino;servicio;recreativo_educativo;la_esperanza;3;6.0;2016-03-07;6890000.0;microempresarial
masculino;industria;ebanistaria;belencito;2;13.0;2018-05-18;2000000.0;microempresarial
femenino;industria;fabrica_de_;las_esmeraldas;2;4.0;2018-03-06;3000000.0;microempresarial
femenino;servicio;recreativo_educativo;robledo;2;7.0;2016-05-19;2000000.0;microempresarial
masculino;comercio;comidas_rapidas;barrio_caicedo;1;9.0;2018-10-03;7500000.0;microempresarial
masculino;comercio;restaurante;belen;2;16.0;2017-02-23;5000000.0;microempresarial
masculino;industria;comidas_rapidas;moravia;2;4.0;2018-06-27;3500000.0;microempresarial
masculino;industria;fabrica_de_productos_;santander;2;6.0;2017-08-18;7377000.0;microempresarial
masculino;industria;panaderia;castilla;2;5.0;2017-05-16;7370000.0;microempresarial
femenino;comercio;variedades;buenos_aires;3;9.0;2017-02-15;6800000.0;microempresarial
masculino;industria;fabrica_de_;campo_valdes_no__1;2;4.0;2018-03-07;6000000.0;microempresarial
femenino;comercio;almacen_de_ropa_en_;aranjuez;2;4.0;2018-08-13;7812242.0;microempresarial
femenino;servicio;mantenimiento_en_;doce_de_octubre_no_1;1;6.0;2017-01-27;6000000.0;microempresarial
femenino;comercio;variedades;santander;2;6.0;2018-06-21;6000000.0;microempresarial
femenino;industria;fabrica_de_;campo_valdes_no__1;3;4.0;2017-11-30;7000000.0;microempresarial
masculino;comercio;tienda_de_helados;campo_valdes_no__1;2;4.0;2016-04-11;6890000.0;microempresarial
masculino;comercio;tienda;belencito;2;13.0;2016-03-10;6890000.0;microempresarial
femenino;servicio;peluqueria;campo_valdes_no__1;3;4.0;2018-04-03;7800000.0;microempresarial
masculino;servicio;organización_y_;florencia;3;5.0;2018-08-21;6000000.0;microempresarial
